#,Class,Status,Time
'149','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 01:23:06.658488'
'150','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 01:24:57.269475'
'151','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 01:26:47.985184'
'152','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 01:28:38.586838'
'153','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 01:30:29.218246'
'154','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 01:32:19.847591'
'155','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 01:34:10.505130'
'156','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 01:36:01.129666'
'157','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 01:37:51.788570'
'158','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 01:39:42.424457'
'159','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 01:41:33.043479'
'160','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 01:43:23.672946'
'161','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 01:45:14.291989'
'162','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 01:47:04.920387'
'163','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 01:48:55.640016'
'164','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 01:50:46.476843'
'165','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 01:52:37.081392'
'166','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 01:54:27.772391'
'167','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 01:56:18.386531'
'168','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 01:58:09.054454'
'169','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 01:59:59.725484'
'170','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 02:01:50.327893'
'171','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 02:03:40.994325'
'172','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 02:05:31.593581'
'173','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 02:07:22.206315'
'174','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 02:09:12.812548'
'175','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 02:11:03.450551'
'176','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 02:12:54.076423'
'177','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 02:14:44.684186'
'178','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 02:16:35.312430'
'179','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 02:18:25.962587'
'180','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 02:20:16.585813'
'181','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 02:22:07.268332'
'182','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 02:23:57.893560'
'183','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 02:25:48.490637'
'184','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 02:27:39.086419'
'185','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 02:29:29.731441'
'186','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 02:31:20.406885'
'187','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 02:33:11.055083'
'188','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 02:35:01.679575'
'189','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 02:36:52.339166'
'190','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 02:38:42.972971'
'191','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 02:40:33.625680'
'192','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 02:42:24.413464'
'193','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 02:44:15.167108'
'194','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 02:46:05.808848'
'195','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 02:47:56.413491'
'196','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 02:49:47.054250'
'197','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 02:51:37.776151'
'198','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 02:53:28.392819'
'199','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 02:55:19.051672'
'200','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 02:57:09.654340'
'201','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 02:59:00.275910'
'202','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 03:00:50.899963'
'203','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 03:02:41.534508'
'204','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 03:04:32.148245'
'205','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 03:06:22.976927'
'206','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 03:08:13.692767'
'207','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 03:10:04.336900'
'208','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 03:11:55.072122'
'209','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 03:13:45.674870'
'210','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 03:15:36.294048'
'211','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 03:17:26.954894'
'212','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 03:19:17.616956'
'213','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 03:21:08.258950'
'214','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 03:22:58.874573'
'215','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 03:24:49.524689'
'216','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 03:26:40.137947'
'217','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 03:28:31.042136'
'218','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 03:30:21.660634'
'219','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 03:32:12.350431'
'220','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 03:34:02.986327'
'221','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 03:35:53.666407'
'222','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 03:37:44.302336'
'223','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 03:39:35.067351'
'224','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 03:41:25.875362'
'225','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 03:43:16.503799'
'226','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 03:45:07.103112'
'227','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 03:46:57.844749'
'228','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 03:48:48.465364'
'229','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 03:50:39.167177'
'230','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 03:52:29.784662'
'231','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 03:54:20.388851'
'232','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 03:56:11.087974'
'233','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 03:58:01.807510'
'234','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 03:59:52.552823'
'235','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 04:01:43.333199'
'236','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 04:03:33.929310'
'237','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 04:05:24.583950'
'238','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 04:07:15.238566'
'239','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 04:09:05.834914'
'240','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 04:10:56.462433'
'241','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 04:12:47.120907'
'242','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 04:14:37.708419'
'243','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 04:16:28.411689'
'244','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 04:18:19.073474'
'245','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 04:20:09.673980'
'246','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 04:22:00.293898'
'247','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 04:23:51.023386'
'248','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 04:25:41.879198'
'249','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 04:27:32.507134'
'250','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 04:29:23.143608'
'251','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 04:31:13.756364'
'252','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 04:33:04.411917'
'253','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 04:34:55.131061'
'254','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 04:36:45.727979'
'255','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 04:38:36.329566'
'256','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 04:40:26.970199'
'257','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 04:42:17.606242'
'258','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 04:44:08.226102'
'259','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 04:45:58.884927'
'260','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 04:47:49.679698'
'261','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 04:49:40.407568'
'262','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 04:51:31.098294'
'263','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 04:53:21.808633'
'264','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 04:55:12.429075'
'265','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 04:57:03.062332'
'266','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 04:58:53.660234'
'267','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 05:00:44.286015'
'268','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 05:02:34.969049'
'269','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 05:04:25.661354'
'270','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 05:06:16.594277'
'271','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 05:08:07.304989'
'272','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 05:09:57.911553'
'273','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 05:11:48.532976'
'274','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 05:13:39.212446'
'275','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 05:15:29.862550'
'276','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 05:17:20.524594'
'277','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 05:19:11.520758'
'278','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 05:21:02.131762'
'279','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 05:22:52.841886'
'280','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 05:24:43.448228'
'281','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 05:26:34.118616'
'282','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 05:28:25.008483'
'283','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 05:30:15.686184'
'284','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 05:32:06.301567'
'285','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 05:33:56.942025'
'286','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 05:35:47.582016'
'287','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 05:37:38.180154'
'288','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 05:39:28.827005'
'289','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 05:41:19.503558'
'290','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 05:43:10.228037'
'291','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 05:45:01.084168'
'292','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 05:46:51.693675'
'293','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 05:48:42.352381'
'294','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 05:50:33.016565'
'295','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 05:52:23.694976'
'296','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 05:54:14.354561'
'297','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 05:56:04.968652'
'298','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 05:57:55.731608'
'299','Counter Flow 1' by 'Marcus',FULL,'2023-07-11 05:59:46.449978'
